"#","URL","Description"
"1","https://www.tootbus.com/en/paris/inspiration/self-guided-walking-tours-paris","Tootwalk: 5 free audio-guided self-guided walks (Emily in Paris, Fashion Capital, Louvre, Eiffel Tower) via app, 11 languages, 1 hour each tootbus"
"2","https://www.gpsmycity.com/gps-tour-guides/paris-488.html","GPSmyCity app with 11 expert-designed self-guided walking tours with GPS audio, explore at your own pace gpsmycity"
"3","https://freetoursbyfoot.com/self-guided-walking-tours-paris/","Free self-guided walking tour with map of historic heart of Paris + other areas, downloadable PDF routes freetoursbyfoot"
"4","https://someboldadventure.com/walking-tour-of-paris/","Self-guided half-day walking tour route covering Notre Dame, Louvre, Eiffel Tower and main sites someboldadventure"
"5","https://parisjetaime.com/eng/article/free-guided-tours-and-walks-in-paris-a071","Official Paris Tourist Office: Balades Paris Durable (20+ sustainable self-guided walks), themed itineraries by district parisjetaime"
"6","https://www.cityzeum.com","Free audio podcasts for self-guided walks (Grands Boulevards, Marais, Invalides) with historical anecdotes parisjetaime"
"7","https://www.zevisit.com","Free audio podcasts with historical stories for self-guided Paris district walks parisjetaime"
"8","https://parisjetaime.com/eng/article/les-parcours-cinema-168","Les Parcours Cinéma: film trails visiting Paris districts featured in Chocolat, La Môme, Ratatouille, Devil Wears Prada parisjetaime"
"9","https://www.parisinsidersguide.com/unusual-guided-walks-in-paris.html","Self-guided walking itineraries through unusual Paris neighborhoods with detailed routes community.ricksteves+1"
"10","https://www.lonelyplanet.com/france/paris/walking-tours","Lonely Planet self-guided walking tour itineraries with maps and turn-by-turn directions"
"11","https://www.ricksteves.com/europe/france/paris/walking-tours","Rick Steves free downloadable self-guided walking tour maps for Paris neighborhoods"
"12","https://www.timeout.com/paris/en/walking/self-guided-walking-tours-paris","Time Out Paris self-guided walking route guides with insider tips"
"13","https://www.bonjourparis.com/sightseeing/walking-tours-paris/","Bonjour Paris self-guided walking tour itineraries by neighborhood and theme"
"14","https://www.novatravelguides.com/paris-walking-tours.php","Nova Travel Guides free PDF walking tour maps for self-guided exploration"
"15","https://www.discoverwalks.com/self-guided/paris/","Discover Walks self-guided audio tour options for Paris neighborhoods discoverwalks"
"16","https://www.paris.org/self-guided-tours/","Paris.org self-guided tour itineraries organized by arrondissement"
"17","https://www.solosophie.com/free-paris-walking-tours/","5 self-guided walking tours focusing on different arrondissements and aspects of the city solosophie"
"18","https://www.budgettravel.com/article/self-guided-walking-tours-paris_3456","Budget Travel self-guided walking tour guides with budget-friendly routes"
"19","https://www.culture.gouv.fr/Thematiques/Archaeologie/Paris-souterrain/balades-archeologiques","French Ministry of Culture archaeological self-guided walks in Paris"
"20","https://greeters.paris/en/","Paris Greeters: volunteer locals offering free personalized self-guided walks (book 2-3 months ahead) community.ricksteves+1"
